Year,APSCO,Algeria,Angola,Arabsat,Argentina,Armenia,Australia,Austria,Azerbaijan,Bangladesh,Belarus,Belgium,Bhutan,Bolivia,Brazil,Bulgaria,Canada,Chile,China,Colombia,Costa Rica,Croatia,Czechia,Denmark,Djibouti,EUMETSAT,Ecuador,Egypt,Estonia,Ethiopia,European Space Agency,European Union,Eutelsat,Finland,France,Germany,Ghana,Greece,Guatemala,Hungary,India,Indonesia,Inmarsat,Intelsat,Intersputnik,Iran,Iranian Space Agency,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Kenya,Kuwait,Laos,Latvia,Lithuania,Luxembourg,Malaysia,Mauritius,Mexico,Moldova,Monaco,Mongolia,Morocco,NATO,Nepal,Netherlands,New Zealand,Nigeria,North Korea,Norway,Oman,Pakistan,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,RASCOM,Romania,Russia,Rwanda,Saudi Arabia,Sea Launch,Senegal,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Starsem,Sweden,Switzerland,Taiwan,Thailand,Tunisia,Turkey,Turkmenistan,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Venezuela,Vietnam,World,Zimbabwe
2006,0,0,0,8,0,0,12,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,8,0,0,0,0,0,0,26,0,58,45,0,0,0,0,0,0,0,0,0,0,0,0,9,0,123,0,1,0,0,0,0,0,15,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3243,0,0,0,0,0,0,0,0,11,9,0,0,0,0,8,6,0,0,0,0,0,0,0,1889,0,0,0,5918,0
2007,0,0,0,0,11,0,13,0,0,0,0,0,0,0,16,0,33,0,131,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,48,0,0,0,0,46,13,0,0,0,0,0,0,10,23,129,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3261,0,12,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,43,1935,0,0,0,6029,0
2008,0,0,0,9,0,0,0,0,0,0,0,0,0,0,17,0,38,0,148,0,0,0,0,4,0,0,0,0,0,0,65,0,28,0,59,57,0,0,0,0,50,0,0,57,0,0,0,0,12,24,135,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,3,46,1959,0,2,1,6138,0
2009,0,0,0,0,0,0,14,0,0,0,0,0,0,0,18,0,40,0,156,0,0,0,0,0,0,0,0,0,0,0,70,0,31,0,62,61,0,0,0,0,54,0,0,0,0,2,0,0,0,25,147,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3312,0,0,0,0,0,0,0,2,0,11,0,0,0,1,0,0,0,6,0,0,0,4,49,1997,0,0,0,6263,0
2010,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,4,0,0,71,0,0,0,71,63,0,0,0,0,56,0,0,0,0,0,0,0,13,26,156,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,3336,0,0,0,0,0,0,0,0,13,12,0,0,15,2,0,0,0,0,0,0,4,0,52,2033,0,0,0,6384,0
2011,0,0,0,12,12,0,0,0,0,0,0,0,0,0,19,0,42,3,196,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,90,0,0,0,0,0,63,0,0,58,0,3,0,0,14,27,160,0,2,0,0,0,0,0,21,0,0,9,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3360,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,5,54,2062,0,0,0,6513,0
2012,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,44,0,222,0,0,0,0,0,0,10,0,0,0,0,77,0,0,0,95,64,0,0,0,1,65,14,0,59,0,4,0,0,0,31,169,0,0,0,0,0,0,0,23,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,3383,0,0,0,0,0,0,0,0,14,13,0,0,17,0,0,0,0,8,0,0,0,6,58,2095,0,3,3,6647,0
2013,0,0,0,0,14,0,0,2,1,0,0,0,0,1,21,0,48,0,241,0,0,0,0,6,0,0,2,0,1,0,83,0,0,0,103,70,0,0,0,0,70,0,0,0,0,0,0,0,15,32,174,0,0,0,0,0,0,0,24,0,0,11,0,0,0,0,0,0,7,0,0,0,7,0,4,0,0,2,0,2,0,0,0,0,3412,0,0,0,0,4,0,0,3,20,15,0,0,0,0,0,0,0,9,0,0,7,7,65,2175,0,0,5,6857,0
2014,0,0,0,0,16,0,15,0,2,0,0,3,0,0,23,0,52,0,266,0,0,0,0,7,0,0,0,5,0,0,85,2,0,0,105,71,0,0,0,0,74,0,0,60,0,0,0,0,17,34,198,0,5,0,0,0,0,2,26,7,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,3,0,3,0,0,0,0,3447,0,13,0,0,6,0,0,4,0,16,0,0,0,0,0,8,0,10,0,0,8,0,75,2270,1,0,0,7098,0
2015,0,0,0,13,17,0,16,0,0,0,0,0,0,0,26,0,54,0,304,0,0,0,0,8,0,11,0,0,0,0,88,8,32,0,0,0,0,0,0,0,78,15,0,0,0,5,0,0,0,35,202,0,0,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0,3474,0,0,0,0,12,0,0,0,21,0,0,0,0,0,0,0,0,11,1,0,0,0,82,2374,0,0,0,7320,0
2016,0,5,0,0,0,0,17,0,0,0,2,4,0,0,27,0,57,0,342,0,0,0,0,9,0,0,0,0,0,0,92,14,33,0,107,73,0,0,0,0,90,17,0,0,0,0,0,0,18,36,213,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,2,0,0,0,0,0,3488,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,9,0,12,0,0,0,0,83,2479,3,0,0,7541,0
2017,0,6,1,0,0,0,18,3,0,1,0,32,0,0,31,1,0,4,373,0,0,0,0,0,0,0,0,0,0,0,94,18,0,1,109,75,1,2,0,0,99,18,0,0,0,0,0,0,21,40,229,0,6,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,8,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,3513,0,0,0,0,0,1,0,0,26,18,0,0,18,0,9,0,0,0,0,0,0,8,90,2765,4,4,0,7997,0
2018,0,0,0,0,18,0,24,0,3,2,3,0,1,0,34,2,62,0,468,2,1,0,0,11,0,12,0,0,0,0,98,22,0,5,111,86,0,0,0,0,109,19,0,0,0,0,0,0,0,41,247,1,9,1,0,0,0,0,35,9,0,0,0,0,0,3,0,0,11,1,0,0,0,0,6,0,0,0,4,4,0,1,0,0,3536,0,15,0,0,0,0,0,5,37,23,0,0,0,3,0,10,0,13,0,0,0,9,102,2955,6,0,0,8449,0
2019,0,0,0,14,0,0,25,0,0,0,0,0,0,0,36,0,65,0,544,0,0,0,7,12,0,0,0,9,2,1,100,0,0,7,118,97,0,3,0,3,119,20,0,0,0,0,0,0,24,44,268,0,0,0,0,0,0,4,39,0,0,15,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3566,0,0,0,0,13,0,0,0,0,25,1,0,19,4,15,11,0,0,0,0,0,10,116,3317,0,0,6,9035,0
2020,0,0,0,0,19,0,28,0,0,0,0,35,0,0,0,0,71,0,617,0,0,0,0,0,0,0,0,0,3,0,102,0,0,9,122,102,0,0,1,0,122,0,0,0,0,6,0,0,26,45,277,0,0,0,0,0,0,6,47,0,0,16,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3590,0,0,0,0,0,0,2,0,39,28,0,0,0,5,0,12,0,0,0,0,0,13,220,4301,19,0,0,10309,0
2021,0,0,0,0,20,0,36,0,0,0,0,36,0,0,39,3,82,0,727,0,0,0,0,0,0,0,0,0,0,0,0,24,0,17,131,111,0,0,0,5,127,0,0,0,0,0,0,0,30,53,301,0,0,0,0,0,0,9,58,0,1,18,0,0,0,0,0,0,14,14,0,0,14,0,0,0,1,0,7,8,0,0,0,0,3611,1,17,0,0,0,2,0,0,43,29,0,0,0,15,17,14,1,16,0,0,0,17,509,5533,23,0,0,12123,0
2022,0,0,2,0,21,1,0,0,0,0,0,0,0,0,44,4,91,7,909,0,0,0,10,0,0,13,0,10,0,0,0,0,0,21,141,116,0,5,0,0,138,0,0,0,0,8,0,0,41,64,313,0,0,0,0,0,0,10,74,10,0,0,1,0,0,0,0,0,15,26,0,0,17,0,0,0,0,0,0,14,0,0,0,0,3661,0,0,0,0,17,0,3,8,51,48,0,0,0,19,19,0,0,18,0,1,9,20,621,7472,32,0,0,14600,1
2023,1,0,0,15,22,2,47,4,0,0,4,39,0,0,46,5,109,0,1119,3,0,0,11,14,1,0,0,13,4,0,104,0,0,27,153,125,0,0,0,8,145,23,0,0,0,9,0,1,46,85,326,0,0,2,1,0,0,13,87,12,0,0,0,0,0,0,0,0,17,0,0,3,20,0,0,0,0,0,9,16,0,0,0,2,3727,4,0,0,0,27,3,0,9,63,61,0,0,0,24,22,15,0,27,0,0,10,22,766,9706,45,0,0,17495,0
2024,0,0,0,0,0,0,56,0,0,0,0,43,0,0,0,0,112,8,1385,0,0,1,12,0,2,0,0,14,0,0,109,28,0,34,175,132,0,0,0,9,155,25,0,0,0,20,1,0,0,96,352,0,0,0,0,0,0,0,95,0,0,0,0,0,13,5,0,0,0,0,0,0,24,1,8,0,0,0,0,18,3,0,0,0,3825,7,0,0,1,28,4,0,0,68,69,0,0,21,0,25,0,0,32,0,0,0,0,793,11969,49,0,0,20344,2
